symbol,combination,output_size,window_size,data_mode,drop_out,val_score,test_score,balance_score
TSLA,svm2_random_forest1_xgboost1_lstm1_news0,3,14,2,0.0,0.425,0.3617021276595745,0.425
TSLA,random_forest1_lstm1,3,14,2,0.0,0.75,0.3829787234042553,0.375
TSLA,random_forest1_news0,3,14,2,0.2,0.75,0.3829787234042553,0.375
TSLA,random_forest1_lstm1_news0,3,14,2,0.5,0.75,0.3829787234042553,0.375
TSLA,svm2_xgboost1_lstm1,3,14,2,0.0,0.225,0.40425531914893614,0.475
TSLA,random_forest1_xgboost1_news0,3,14,2,0.2,0.65,0.40425531914893614,0.45
TSLA,svm2_random_forest1_xgboost1_lstm1,3,14,2,0.5,0.625,0.40425531914893614,0.4
TSLA,svm2_random_forest1_lstm1_news0,3,14,2,0.5,0.3,0.40425531914893614,0.525
TSLA,svm2_random_forest1,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_random_forest1,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,svm2_lstm1,3,14,2,0.0,0.35,0.425531914893617,0.5
TSLA,svm2_lstm1,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_lstm1,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,svm2_news0,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_news0,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,random_forest1_lstm1,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,random_forest1_news0,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,xgboost1_lstm1,3,14,2,0.0,0.35,0.425531914893617,0.5
TSLA,xgboost1_news0,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_random_forest1_news0,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_xgboost1_lstm1,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_xgboost1_news0,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_xgboost1_news0,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,random_forest1_xgboost1_lstm1,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,random_forest1_lstm1_news0,3,14,2,0.0,0.35,0.425531914893617,0.525
TSLA,svm2_random_forest1_xgboost1_lstm1,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,svm2_random_forest1_xgboost1_news0,3,14,2,0.5,0.35,0.425531914893617,0.5
TSLA,svm2_random_forest1_lstm1_news0,3,14,2,0.0,0.7,0.425531914893617,0.45
TSLA,svm2_random_forest1_lstm1_news0,3,14,2,0.2,0.75,0.425531914893617,0.45
TSLA,svm2_xgboost1_lstm1_news0,3,14,2,0.2,0.35,0.425531914893617,0.5
TSLA,random_forest1_xgboost1_lstm1_news0,3,14,2,0.0,0.35,0.425531914893617,0.5
TSLA,svm2_random_forest1,3,14,2,0.0,0.675,0.44680851063829785,0.45
TSLA,xgboost1_lstm1,3,14,2,0.5,0.25,0.44680851063829785,0.45
TSLA,svm2_random_forest1_lstm1,3,14,2,0.2,0.675,0.44680851063829785,0.45
TSLA,svm2_random_forest1_lstm1,3,14,2,0.5,0.675,0.44680851063829785,0.45
TSLA,svm2_random_forest1_news0,3,14,2,0.0,0.225,0.44680851063829785,0.525
TSLA,svm2_xgboost1_lstm1,3,14,2,0.5,0.55,0.44680851063829785,0.475
