date,title,source,desc,url,img
2023-05-16,UK watchdog denies it blocked Microsoft deal on orders of US regulator,The Guardian,CEO of Competition and Markets Authority tells MPs decision not to allow acquisition of Activision Blizzard based on 'own analysis',https://www.theguardian.com/business/2023/may/16/uk-watchdog-microsoft-us-regulator-competition-markets-authority-activision-blizzard,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,Microsoft's Record-Breaking Success: Exploring The Factors Fueling Its Journey Beyond 300 - Microsoft (NASDAQ ...,Benzinga,"Microsoft's acquisition of Activision Blizzard receives EU's endorsement, shifting focus to the UK's decision, which could sway other global players.",https://www.benzinga.com/23/05/32424325/microsofts-record-breaking-success-exploring-the-factors-fueling-its-journey-beyond-300,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,EU Official Says CMA Overstated Microsoft’s Share in Cloud Gaming Market,Wccftech,An EU official went on record to say that the UK's CMA has overstated Microsoft's supposed cloud gaming market share (60-70%).,https://wccftech.com/eu-official-says-cma-overstated-microsofts-share-in-cloud-gaming-market/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,Windows 11 Moment 3 Update: New Features and Improvements for Your PC,Gizchina.com,"Microsoft is working tirelessly to make Windows 11 better, secured and more useful. The company is currently getting prepared to rollout a full packed...",https://www.gizchina.com/2023/05/16/windows-11-moment-3-update-new-features-and-improvements-for-your-pc/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,"UK MPs grill regulator over Microsoft Activision Blizzard deal block, day after EU grants approval",Eurogamer,The UK Competition and Markets Authority has defended its decision to block Microsoft's $68.7bn Activision Blizzard buy…,https://www.eurogamer.net/uk-mps-grill-regulator-over-microsoft-activision-blizzard-deal-block-day-after-eu-grants-approval,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,"CMA 'Overstated' Microsoft's Cloud Gaming Share in Activision Blizzard Decision, EU Says",Game Rant,An EU official states that the CMA may have 'overstated' Microsoft's cloud gaming share when blocking the Activision Blizzard acquisition.,https://gamerant.com/cma-overstated-microsoft-cloud-gaming-share/,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,UK regulator's chiefs defend decision to block Microsoft-Activision merger,Financial Times,Top executives at CMA argue that scrutiny of deals does not create 'hostile' environment for tech groups.,https://www.ft.com/content/17d7c71f-a82f-4f6b-8552-b2814cb5f9d1,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,ChatGPT egg balancing task convinced Microsoft that AGI is closer,Business Insider,Microsoft researchers asked GPT-4 to stack nine eggs with other objects; its grid solution startled them because it was so clever.,https://www.businessinsider.com/chatgpt-open-ai-balancing-task-convinced-microsoft-agi-closer-2023-5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,"Druckenmiller pumps $400M into Nvidia, Microsoft stocks in big AI bets",Markets Insider,"Duquesne Family Office pumped about $220 million into Nvidia stock and newly purchased $210 million of Microsoft shares last quarter, 13F filings show.",https://markets.businessinsider.com/news/stocks/stanley-druckenmiller-nvidia-microsoft-stocks-artificial-intelligence-ai-tech-shares-2023-5,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
2023-05-16,"EU commentary on Microsoft-Activision deal should help appeal, Wells Fargo says",Seeking Alpha,The commentary from the European Union on its approval of Microsoft's (MSFT) proposed acquisition of Activision Blizzard (ATVI) is an incremental positive.,https://seekingalpha.com/news/3971984-eu-commentary-microsoft-activision-deal-help-appeal-wells-fargo,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
